weight,item_price,shipment_method_id,seller_id,quantity,b2c_c2c,declared_handling_days,zip_distance,category_id
0.0,20.5,0,6727381.0,1,1,2,803.39,0
4.082328,19.9,0,18507.0,1,0,1,694.71,1
0.453592,6.0,0,340356.0,1,0,1,728.16,1
2.721552,22.99,0,48312.0,1,0,1,2426.39,0
2.721552,41.5,0,18048.0,1,0,1,921.79,23
1.360776,21.2,0,2101.0,1,0,1,399.04,13
4.53592,14.0,0,36271.0,1,0,10,2274.8,0
0.0,3.99,1,171.0,1,0,1,2113.84,10
21.772416,88.0,2,42037.0,1,0,1,837.81,1
254.01152,395.0,1,29882.0,1,0,1,370.45,13
2.26796,11.95,0,55420.0,1,0,1,1954.84,1
7.257472,6.0,0,856471.0,1,1,3,1493.19,17
0.0,68.99,1,304592.0,1,1,1,770.27,3
0.453592,2.49,0,1313.0,1,0,0,521.57,23
1.360776,26.99,0,32257.0,1,0,0,1009.78,1
14.514944,24.99,1,3961.0,1,0,1,928.03,1
2.721552,29.25,0,290.0,1,0,1,949.09,10
0.0,65.0,8,188616.0,1,0,1,356.85,1
0.453592,2.68,0,187.0,1,0,1,2050.62,10
3.175144,3.63,0,17124.0,2,0,1,1070.43,9
12.246984,29.0,10,8524.0,1,0,3,1241.88,0
7.257472,15.0,0,173719.0,1,1,1,1343.09,17
4.53592,14.0,0,36271.0,1,0,10,1268.43,0
0.0,12.99,0,191794.0,1,1,3,712.76,9
0.0,40.0,1,29882.0,1,0,1,645.92,13
3.628736,5.95,0,972.0,1,0,1,765.11,0
3.628736,6.95,0,972.0,1,0,1,1146.48,0
3.628736,6.95,0,972.0,1,0,1,1229.5,0
6.80388,14.99,2,48941.0,2,0,1,953.6,11
0.0,42.49,0,657.0,1,0,1,89.8,0
14.514944,69.95,1,32257.0,1,0,1,677.08,1
0.0,8.99,0,38919.0,1,0,1,1837.73,0
21.772416,125.99,2,18180.0,1,0,1,1138.87,1
1.360776,10.57,0,25853.0,1,0,1,1137.93,5
0.453592,1.84,0,45689.0,4,0,1,673.61,9
0.0,14.95,0,116365.0,1,0,1,1053.62,4
6.350288,13.99,0,29196.0,1,0,1,1561.13,3
14.514944,3.2,0,349702.0,1,1,1,1308.7,3
1.360776,29.65,0,2101.0,1,0,1,713.86,13
29.029888,97.49,2,746841.0,1,1,1,1748.99,3
145.14944,25.0,4,86814.0,1,0,3,34.92,13
0.907184,5.59,0,19120.0,1,0,1,574.21,6
0.0,12.99,0,79330.0,3,0,1,949.79,13
0.0,12.99,0,168572.0,1,1,1,592.03,2
0.0,19.99,1,20779.0,1,0,3,177.78,0
0.0,24.74,1,20779.0,1,0,3,1295.32,0
0.907184,5.0,0,183574.0,1,1,1,5.44,0
5.443104,7.64,3,7074.0,1,0,1,249.02,14
2.26796,8.99,0,21459.0,1,0,3,382.88,23
0.0,49.99,3,56843.0,1,0,1,983.74,16
0.0,2.69,0,148.0,1,0,1,513.07,1
0.0,16.99,1,73105.0,1,0,10,573.48,0
0.0,29.99,3,56843.0,1,0,1,2708.03,16
0.0,22.45,1,103079.0,1,0,1,1788.91,0
0.0,50.0,1,1248326.0,1,1,1,172.81,7
5.896696,18.36,4,5211.0,1,0,1,1047.6,0
21.772416,38.25,1,26732.0,1,0,1,169.86,21
7.257472,4.88,0,11074.0,1,0,1,976.63,6
0.0,25.0,3,56843.0,1,0,1,199.54,14
0.0,14.95,1,79069.0,2,0,1,517.19,1
0.453592,2.2,0,7377.0,1,0,1,1477.66,4
4.53592,14.0,0,36271.0,1,0,10,212.66,0
0.0,6.75,0,4511.0,1,0,0,1936.61,17
4.082328,2.99,0,7987.0,1,0,1,571.46,16
0.453592,2.48,0,141517.0,2,1,0,429.04,17
21.772416,107.5,2,42037.0,1,0,1,460.38,1
0.0,7.95,0,21992.0,4,0,1,217.18,4
0.0,7.95,0,21992.0,2,0,1,1714.34,4
1.814368,5.99,0,125302.0,1,1,1,2506.72,9
0.907184,6.27,0,1330.0,1,0,1,884.52,4
1.360776,4.99,0,4087.0,1,0,0,581.91,6
0.0,32.95,1,33241.0,1,0,2,1975.83,3
4.082328,17.99,0,163202.0,1,0,3,1163.96,0
0.0,14.99,0,145546.0,1,0,1,347.66,2
0.0,11.19,0,1365.0,1,0,1,1162.52,6
1.814368,5.99,0,125302.0,1,1,1,1217.75,9
36.28736,25.95,1,949.0,1,0,1,970.62,13
0.453592,0.99,0,324044.0,1,1,1,924.67,19
0.907184,4.95,0,11323.0,1,0,2,418.34,10
11.793392,49.95,1,793331.0,1,0,1,1169.17,1
2.26796,1.3,1,12612.0,4,0,1,1701.09,13
3.628736,4.99,0,812.0,1,0,1,2138.98,0
0.0,30.0,0,44114.0,1,0,1,2333.57,2
1.814368,5.99,0,31657.0,1,0,1,797.14,17
1.360776,4.99,0,18621.0,1,0,1,546.02,1
0.453592,5.31,0,11564.0,1,0,1,1678.52,11
1.360776,19.95,0,24831.0,1,0,1,1233.35,12
2.26796,15.9,0,54538.0,1,0,5,2357.97,13
0.0,4.75,0,1365.0,1,0,1,639.23,6
0.0,12.95,0,7816.0,1,0,1,147.88,4
7.257472,16.32,8,7482.0,1,0,3,1162.61,13
7.257472,18.99,1,60293.0,1,0,1,1068.03,9
10.886208,22.99,1,268455.0,1,0,30,309.6,3
21.772416,49.95,2,18283.0,1,0,1,2080.48,1
39.916096,49.0,2,40137.0,1,0,1,480.32,13
14.514944,49.95,2,18283.0,1,0,1,801.11,1
0.0,0.99,0,46599.0,1,0,1,1195.51,3
1.360776,16.99,0,28753.0,1,0,1,2162.57,6
29.029888,35.0,1,284466.0,1,1,2,2331.65,0
0.0,10.64,0,255985.0,1,1,10,981.87,6
1.814368,5.0,0,3050526.0,1,1,2,1046.04,16
5.896696,13.0,1,1880130.0,1,1,1,2163.68,0
1.360776,17.95,0,290967.0,1,1,1,431.63,2
58.059776,22.27,0,226889.0,1,0,2,1275.09,13
14.514944,2.99,3,25567.0,1,0,1,585.11,14
4.53592,10.0,0,162453.0,1,0,3,2447.63,9
6.80388,19.95,1,2532.0,1,0,1,733.57,9
0.0,69.95,0,7816.0,1,0,1,2060.92,4
4.082328,16.8,1,47271.0,1,0,1,2548.56,9
14.514944,11.65,0,3822.0,2,0,1,1914.09,0
0.453592,1.39,0,1171.0,5,0,1,57.85,17
1.814368,12.73,0,48942.0,1,0,1,1270.56,0
0.0,6.45,0,1365.0,2,0,1,1059.09,6
0.0,6.45,0,1365.0,2,0,1,1059.09,6
5.896696,5.49,0,56190.0,1,0,2,1227.76,0
0.907184,1.79,0,1171.0,1,0,1,904.85,17
14.514944,139.95,5,15065.0,1,0,1,636.3,6
0.907184,1.01,0,45133.0,1,0,1,874.97,2
0.0,6.22,0,7086.0,1,0,1,1187.19,2
0.0,3.99,0,17317.0,1,0,0,279.25,17
